source,target,weight
tamaraschilling,verwon,4
tamaraschilling,giselle2323,1
tamaraschilling,aceconcierge,1
tamaraschilling,candlesbytasha,1
tamaraschilling,carmilla5,1
tamaraschilling,michellemmm,1
stinginthetail,jaredwoods,1
stinginthetail,_satan_,1
seancallanan,johnrillie,1
seancallanan,dj_rod,1
freocookster,c2030_summit,2
freocookster,pff2009,2
amms09,freocookster,2
amms09,c2030_summit,2
amms09,pff2009,2
jhillstephens,in_excess,1
jhillstephens,leglesslush,1
jhillstephens,verwon,1
jhillstephens,scarletmandy,2
jhillstephens,1sweetwhirl,2
jhillstephens,sharonhayes,1
jhillstephens,4u2wear2,1
kateedwards,lovelyera,1
kateedwards,madameink,1
orthodoxyelizab,sandyguerriere,1
orthodoxyelizab,johnlusher,1
orthodoxyelizab,keldandrea,1
orthodoxyelizab,dianarusso,1
orthodoxyelizab,belovelloso,1
orthodoxyelizab,stephhicks,1
orthodoxyelizab,caile,1
justananomaly,shoq,1
sharonkone,shoq,1
tammyburnell,scott_bryant,7
tammyburnell,ameicanwomannn,1
jonhutson,shoq,1
adamsconsulting,grannypig,1
adamsconsulting,crochetrockstar,1
adamsconsulting,shaggieshapiro,1
adamsconsulting,sueissilly,1
adamsconsulting,mastermindcoach,1
adamsconsulting,livingrichlee,1
siahoney,angels510,1
siahoney,jesseluna,2
siahoney,davidhoang,2
joe2cool55,lisababy182,1
filipalinhares,melisangel,2
ircpresident,ahmedikhwan,1
ircpresident,ahmednaguib,1
ircpresident,georgiap,1
ircpresident,gvmena,1
ircpresident,hanadi_traifeh,1
ircpresident,hostageinqatar,1
ircpresident,ielsakka,1
ircpresident,ifikra,1
ircpresident,jamesbuck,1
ircpresident,jeremyclarke,1
nathanlouey,janapleyto,1
nathanlouey,leeah,1
leonardoz,thetazzone,1
leonardoz,ladyparadis,1
leonardoz,leaser_r,1
drwarwick,juliancarter,1
drwarwick,mediahunter,1
drwarwick,iggypintado,1
drwarwick,epigrammist,1
drwarwick,graemebowman,1
drwarwick,shanegold,1
drwarwick,nathe,1
drwarwick,joeslaughter,1
drwarwick,williger,1
torchwood411,intriguingds,1
alohaarleen,moanasaves,1
alohaarleen,hawaiidawg,1
alohaarleen,kgmb9,1
alohaarleen,follow_steph,1
alohaarleen,jeffrago,1
alohaarleen,davidcheah,1
ruth_less1,iamcutdacheck,2
ruth_less1,sohood,1
amandarobins,donaldhardycrs,1
amandarobins,dr_share_d,1
amandarobins,candan76,1
robingrantham,nanachtoronto,1
robingrantham,gmoney52,1
robingrantham,betty_bitch,1
